#separator:tab
#html:true
#columns:deck	front	back
Anatomie::La Fosse Temporale	Les régions a décrire sont  (La Fosse Temporale)	 la région supérieure, ou Calvaria, en dessous du<br>cuir chevelu.<br> En dessous d’elle se trouve la fosse temporale,<br> la région frontale en avant, région occipitale en<br>arrière.<br> La Région auriculaire au dessous de la fosse<br>temporale autour de l’oreille.<br> Région parotidienne qui est la région<br>massétérique qui cache l’appareil masticateur.<br> Région orbitaire,<br> Région nasale, en regard du nez<br> Région labiomentonnière<br> Région zygomatique, en regard du zygoma<br> Région jugale, qui est celle de la joue.<br>Coupe frontale de la tête, Orientation supérieur↑ médial→.<br>Si on effectue une Coupe<br>frontale a travers le massif<br>facial, on trouve sur l’IRM<br>l’ensemble de ces régions.<br>On voit la fosse temporale, FT,<br>la région du processus<br>ptérygoïde, on voit une coupe de<br>la mandibule.<br>Les parties molles se mettent à<br>la surface de la région. On a<br>représenté ici le pavillon de<br>l’oreille. On retrouve le plan de<br>Francfort, qui sépare les<br>régions du crâne en 2 entités<br>fondamentales.<br> Au dessus, la Cavité<br>crânienne contient le<br>cerveau c'est la<br>voute du crâne<br> En dessous, on a la<br>base du crâne.<br>Latéralement, on trouve les muscles masticateurs qui prennent appui sur<br>l’arcade zygomatique. A l’intérieur il y aura également des muscles<br>masticateurs.<br>Cavités viscérales qui contiennent de l’air en dessous.<br>Région cérébrale à l’intérieur du crâne possède une double parois : du cuir<br>chevelu jusqu'à la corticale externe du crâne, appelé la paroi externe du<br>crâne. La corticale interne, jusqu'à la méninge, appelée la parois interne.<br>Latéralement on à la fosse temporale, et la région massétérique la Fosse<br>infra temporale, qui contient les éléments de l’appareil masticateur, et en<br>profondeur, on a les régions profondes de la face.<br>Les muscles peauciers superficiels<br>La partie la plus élevée du<br>crâne prend le nom de<br>vertex. On respecte le plan<br>de Francfort, plan dans<br>lequel la tête est horizontale<br>par rapport à la gravité.<br>Dans le plan superficiel, on a
Anatomie::La Fosse Temporale	sont des muscles superficiels (La Fosse Temporale)	innervés par le nerf facial.<br>Ils sont responsables des<br>mécanismes de l’expression.<br>Muscle occipital, appuyé<br>sur la ligne occipitale<br>suprême. Ce muscle occipital<br>répond à un muscle antérieur, muscle frontal, situé sous la peau du front. Il s’insère sous la peau en<br>regard du sourcil qu’il soulève quand on plisse le front. Ce muscle fonctionne de concert avec le<br>muscle occipital, car ils sont reliés par un tendon intermédiaire épais, c’est la Galéa aponévrotique.<br>C’est le casque en cuir que portaient les légionnaires. Ces 2 muscles forment ainsi un muscle<br>digastrique appelé le muscle occipito-frontal.<br>Latéralement la Galéa se prolonge par un fascia qui va venir recouvrir la fosse temporale, c’est le<br>fascia temporal superficiel. C’est un tissu celluleux mince, qui est un tissu de glissement. La Galéa<br>glisse sur le crâne. Si on met la main sur le crâne, on peut faire bouger la peau du crâne, on la fait<br>bouger sur le plan sous Galéal. Le FTS est la prolongation de la Galéa aponévrotique<br>En profondeur on trouve inséré sur la ligne temporale supérieure, un autre fascia blanc nacré,<br>beaucoup plus épais, c’est le fascia temporal profond. C'est l’Aponévrose d’enveloppe du muscle<br>temporal qui appartient aux muscles masticateurs.<br>Les muscles qui font bouger l’oreille Muscles auriculaires supérieurs, postérieurs, et antérieur sont<br>situés dans le plan du fascia temporal superficiel. Tous ces muscles peauciers sont innervés par le<br>Nerf facial, qui est un nerf moteur, dont le rameau frontal croise le tiers moyen de l’arcade<br>zygomatique en profondeur pour remonter jusqu'au muscle frontal. Le VIIe nerf crânien ou nerf<br>facial détache aussi une branche postérieure qui innerve les muscles auriculaires, et le ventre<br>occipital du muscle occipito-frontal.<br>Trajet du nerf est un trajet oblique. Il part 1cm en dessous du CAE et se termine 1cm au dessus du<br>sourcil, c’est la Ligne de Pitanguy.<br>Si un malade à une lésion coupante du scalpe a ce niveau, le rameau frontal du nerf facial est<br>susceptible d’être coupé, paralysie du muscle frontal, avec chute du sourcil. C’est une<br>complication fréquente de la chirurgie temporale.<br>Plan profond, appareil masticateur.<br>On met ici en place la mandibule avec le condyle mandibulaire,<br>le processus coronoïde, et les dents.<br>On dessine la fosse temporale.<br>Elle est limitée par les lignes temporales<br>supérieures et inferieures qui vont être les points<br>d’insertion du fascia temporal profond et du<br>muscle temporal. On voit le Ventre occipital et<br>frontal du muscle occipito-frontal. Dans la<br>région de la glabelle, on a le procérus et le<br>corrugateur.<br>Ces éléments glissent en profondeur par<br>l’intermédiaire d’un Espace de glissement<br>qu’on retrouvera plus tard, c’est le Cavum<br>avasculaire de Merkel, car il ne contient<br>pas de vaisseaux. C’est le plan qui facilite<br>le glissement du cuir chevelu. Entre la<br>Galéa et le fascia temporal profond.<br>Le fascia temporal profond s’insère sur la<br>ligne temporale supérieure. Il ferme la fosse<br>temporale. Il se dédouble a sa partie<br>Inferieure, pour former 2 lames fibreuses<br>qui se divisent en Y et qui interceptent les 2 lèvres<br>du bord supérieur de l’arcade zygomatique.<br>En dessous de la ligne temporale supérieure se trouve la ligne temporale inférieure. Elle donne<br>insertion au muscle temporal. Il s’insère dans toute la fosse temporale. Ses fibres postérieures sont<br>obliques vers l’avant, ses fibres moyennes sont verticales, ses fibres antérieures sont obliques vers<br>l’arrière. Il se termine par un Tendon étoilé qui croise la face médiale de l’arcade zygomatique et se<br>termine sur le processus coronoïde de la mandibule, et dans l’incisure mandibulaire. On sait que<br>c’est un muscle masticateur, car quand il se contracte il tire la mandibule vers le haut. Les fibres<br>antérieures peuvent la tirer vers l’avant, et les fibres postérieurs la tirent vers l’arrière. Il intervient<br>donc dans les mouvements de la mastication. C’est lui qui se gonfle dans la fosse temporale.<br>Il est innervé par les branches du nerf V3, 3 nerfs moteurs. Ces nerfs moteurs sont situés dans la<br>fosse infra temporale et abordent le muscle par sa face profonde.<br>Le muscle temporal possède une annexe graisseuse qui vient se mettre dans la partie antérieure de la<br>fosse temporale, qui passe au coté médial, sous l’arcade zygomatique déborde largement dans la joue,<br>c’est un paquet adipeux de glissement, boulle graisseuse de BICHAT. Cette boule graisseuse ne fond<br>jamais, même chez les sujets extrêmement amaigris, elle glisse entre le muscle temporal et le<br>muscle masséter.<br>La fosse temporale communique donc avec la région de la joue. Cet élément est très important<br>car il permet de comprendre qu’un abcès de la fosse temporale va automatiquement s’ouvrir<br>dans la joue. L’abcès ne peut pas s’ouvrir dans la fosse temporale car le fascia temporal<br>profond est trop épais, et ceci fait de la fosse temporale un espace clos. Un malade qui<br>présente une tuméfaction jugale peut présenter une pathologie à l' origine initialement située<br>dans le fosse temporale.<br>Vaisseaux sanguins de la fosse temporale<br>La fosse temporale est essentiellement<br>vascularisée par l’artère temporale<br>superficielle.<br>La carotide externe passe dans la loge<br>parotidienne se divise, donne naissance a<br>l’artère maxillaire, et l’artère temporale<br>superficielle. Cette dernière passe devant<br>l’oreille a l’endroit ou on peut la palper, au<br>dessus de l’arcade zygomatique, c’est le<br>pouls temporal superficiel.<br>L’artère temporale superficielle se divise en Y quand elle arrive<br>dans la région temporale, donne naissance a 2 branches sinueuses,<br>branche postérieure, ou artère pariétale, et une branche antérieure<br>sinueuse, qui glisse le long de la ligne antérieure du cuir chevelu,<br>c’est l’artère frontale. On peut palper les oscillations de l’artère<br>frontale, le long de la ligne du cuir chevelu, sur la tempe. Elle est<br>sélectivement atteinte dans la maladie de Horton, ou arthérite<br>temporale superficielle, qu’on appelle aussi PPR (pseudo<br>polyarthrite rhizo myélique). C'est une maladie rhumatismale<br>et un syndrome inflammatoire qui affecte l'articulation de la racine<br>des membres. Les malades qui ont ça ont une extinction<br>caractéristique du pouls ici. En faisant une petite incision à la<br>muqueuse du cuir chevelu, On peut prélever cette artère pour faire<br>le diagnostic de cette maladie. Il y a une infiltration de cellules<br>géantes dans cette artère.<br> L’artère frontale détache vers le haut 3 branches ascendantes qui vont s’anastomoser entre elles. Ceci explique le<br>caractère extrêmement hémorragique des plaies du cuir chevelu.<br> L’artère pariétale va détacher une branche horizontale et une branche verticale qui elles aussi vont s’anastomoser<br>entre elles et donner naissance au réseau anastomotique du cuir chevelu.<br>L’artère temporale superficielle vascularise un territoire triangulaire qui recouvre la fosse temporale.<br>Ce territoire est anastomosé avec des branches antérieures qui viennent de la carotide interne, via l’artère<br>ophtalmique, ce sont les Artère supra trochléaire, supra orbitaire et lacrymale. Le front est donc<br>vascularisé par la carotide interne /!\. Il existe de nombreuses anastomoses entre ces réseaux et l’artère frontale.<br>La région transitionnelle est vascularisé par un petit vaisseau qui court le long de l’arcade zygomatique, c’est<br>l’artère zygomatico-orbitaire.<br>Le cuir chevelu Postérieur est vascularisé par une branche postérieure de la carotide externe, artère auriculaire<br>postérieure. Elle passe derrière l’oreille, au coté externe du processus mastoïde, et vient s’anastomoser avec<br>l’artère temporale superficielle. L’autre artère est l’Artère occipitale, passe au coté médial du processus<br>mastoïde. Elle vient se répartir dans le cuir chevelu occipital en venant s’anastomoser avec l’artère auriculaire<br>postérieure et les branches de l’artère pariétale.<br>La profondeur de la fosse temporale est vascularisée par 2 artères, les artères temporales<br>profondes, qui viennent de l’artère maxillaire. Elles passent au coté médial du zygoma, et<br>vascularisent le muscle temporal par sa profondeur. Elles courent avec les nerfs temporaux<br>profonds.<br>Le cuir chevelu est très vascularisé par ses multiples anastomoses entre le réseau carotidien<br>interne et externe. Tous les vaisseaux se répartissent au dessus de la Galéa aponévrotique, et<br>s’anastomosent entre eux de façon très généreuse, ce qui explique le saignement des plaies du crâne.<br>Il existe parfois une petite artère qui vient se mettre entre les 2 feuillets du fascia temporal : c’est l’artère<br>temporale moyenne, elle est donc dans le fascia.<br>Les veines courent avec les artères. La Veine temporale superficielle court derrière l'artère et rejoint la veine<br>mastoidienne pour donner la viene jugulaire externe. En avant, le réseau va rejoindre le réseau de a veine<br>faciale.<br>/!\ La VTS est toujours DEVANT<br>le CAE et DERRIERE l'ATS.
Anatomie::La Fosse Temporale	Les Nerfs (La Fosse Temporale)	On met en place les muscles SCM<br>avec ses 2 chefs, et le trapèze.<br>Les nerfs de la sensibilité sont<br>représentés essentiellement dans la<br>partie moyenne par un nerf qui est une<br>branche du nerf V3, la plus grosse<br>branche du nerf trijumeau (nerf<br>mandibulaire).<br>Trijumeau<br>V1<br>Ophtalmique<br>NST, NSO,<br>NLAC<br>V2 maxillaire<br>NZT, NZF<br>V3,<br>Mandibulaire<br>NAT, NTP
Anatomie::La Fosse Temporale	Trajet: Le Nerf auriculo-temporal contourne le col de la	mandibule, passe devant le conduit auditif externe et se<br>retrouve coincé entre l’artère et veine temporale<br>superficielle.<br>V3<br>Territoire sensitif: Le Nerf auriculo-temporal suit les<br>arborisations artérielles, il Innerve la face antérieure du<br>pavillon de l’oreille et innerve largement la région de la<br>tempe. Il vient de la profondeur. Le territoire de ce nerf est<br>un territoire triangulaire qui recouvre la fosse temporale.<br>En avant, le cuir chevelu antérieur est innervé par<br>des nerfs qui courent avec les vaisseaux venant de la<br>carotide interne, ce sont le nerf supra trochléaire,<br>supra orbitaire, et lacrymal. Ce sont des branches<br>du nerf V1, ou nerf ophtalmique, courent avec les<br>vaisseaux du même nom. Innerve le région<br>V1<br>antérieur du cuir chevelu.<br>La partie inférieure de la fosse temporale est innervée par des petits nerfs qui traversent le zygoma,<br>ce sont les Nerfs zygomatico facial, et zygomatico temporal, branches du nerf V2<br>V2<br>qui est le nerf maxillaire.<br>En arrière, on trouve les branches superficielles du plexus cervical, qui sont enroulés autour du bord<br>postérieur du SCM au niveau du point d’ERB, ce sont le nerf petit occipital, et nerf grand<br>auriculaire. Tout à fait en arrière, traversant les arcades musculaires du splénius et du semi épineux<br>de la tête qui sont situés plus en profondeur, nerf qui glisse contre la POE, nerf grand occipital.<br>Nerfs ne sont pas crâniens, ils sont rachidiens. Ils viennent de la partie antérieure et postérieure de C2.<br>Le nerf grand occipital vient de la branche postérieure de C2, et le nerf petit auriculaire ainsi que<br>le petit occipital, viennent de la branche antérieur de C2, ce sont des rameaux du plexus cervical.<br>On peut faire l’anesthésie<br> du nerf auriculo temporal, en venant infiltrer la région antérieure, contre le CAE, si on met<br>du produit anesthésique, on anesthésie tout le territoire du nerf auriculo temporal.<br> du cuir chevelu antérieur, on infiltre la région supraorbitaire,<br> le cuir chevelu postérieur, on anesthésie le nerf grand occipital contre la POE,<br> et on anesthésie le grand auriculaire et petit occipital au bord postérieur du SCM en regard<br>du point d’ERB.<br>Vue supérieure du<br>cuir chevelu.
Anatomie::La Fosse Temporale	Dessin  (La Fosse Temporale)	<br><br>Pole postérieur est soulevé par<br>la POE.<br>Pole antérieur avec le nez et les<br>sourcils.<br>Partie Gauche, plan superficiel du<br>crâne.<br>Sous la graisse sous cutanée on a le muscle<br>occipito-frontal, avec le Muscle frontal en<br>avant, muscle occipital en arrière qui sont<br>réunis par la Galéa aponévrotique qui glisse<br>sous le cuir chevelu. Elle s’enfonce en avant et<br>en arrière entre les 2 chefs, et se continue<br>latéralement par le fascia temporal<br>superficiel qui amplifie la Galéa en éventail,<br>et glisse devant l’oreille.<br>La graisse sous cutanée se place sur ces<br>éléments. Au dessus du plan du fascia,<br>contre la Galéa aponévrotique courent<br>les vaisseaux décrits. Artère temporale superficielle est située en avant avec sa branche frontale qui détache 3<br>branches ascendantes et avec sa branche pariétale qui se dirige vers l’arrière.<br>En avant, les vaisseaux viennent s’anastomoser avec les artères supra trochléaires médialement, supra<br>orbitaires, au milieu, et lacrymales latéralement.<br>En arrière, on trouve l’artère auriculaire postérieure, et branches de l’artère occipitale.<br>Avec ces éléments on retrouve aussi les éléments de la veine temporale superficielle.<br>On voit aussi les nerfs supra orbitaires, supra trochléaires et lacrymal, le Nerf auriculo temporal dans la<br>partie moyenne entre l’artère et la veine. En arrière, on retrouve le Nerf petit occipital et grand occipital, contre<br>la région de l’occiput.<br>On observera les éléments tels quels à la dissection.<br>Partie Droite, Plan profond<br>Si on incise le crâne, et qu’on passe la Galéa, on tombe dans le plan osseux recouvert par le périoste crânien<br>(vert) avec les sutures. Suture coronale relie l’os frontal a l’os pariétal, en avant, la suture lambdoïde qui relie<br>l’os pariétal a l’os occipital, et on voit aussi la ligne temporale supérieure.<br>Les os sont recouverts par le périoste crânien, ou le péricrâne qui est adhérent aux différentes structures osseuses.<br>Il se met dans les lignes suturantes, et va ricocher sur la ligne temporale supérieure, ou il s’épaissit et devient<br>considérablement plus gros, devient le fascia temporal profond. Il recouvre le muscle temporal qui est alors<br>situé a sa profondeur.<br>On voit le Muscle frontal coupé, et le muscle occipital coupé, et entre les 2, on voit le le fascia temporal<br>superficiel.<br>Entre ces éléments, on a un Trait noir qui est le plan de glissement du Cavum avasculaire de Merkel. Dans ce<br>Cavum, on va trouver le rameau frontal du nerf VII.<br>On trouve dans le plan de Merkel, parfois des petites veines profondes qui sont les veines émissaires (une<br>frontale, une occipitale, une pariétale, et une mastoïdienne). Ce sont des Veines qui vont rejoindre le crâne et<br>les cavités de la diploé.<br>Comment se constitue l’image radiologique de la région ?<br>CF qui passe a travers les différents plans décrits de la fosse temporale<br>Voute du crâne, lignes<br>temporales supérieures et<br>inferieures, fosse<br>temporale. Processus<br>ptérygoïde, base du crâne<br>en bas. On voit<br>l’Epaisseur de la voute<br>du crâne.<br>Boule de Bichat<br>Latéralement on coupe<br>l’arcade zygomatique et<br>le en dessous le Ramus<br>mandibulaire.<br>Le péricrâne adhère à la<br>face externe du crâne,<br>ricoche sur la ligne<br>temporale supérieure et<br>recouvre le muscle<br>temporal en formant la<br>FTP puis se divise en 2<br>lames qui viennent<br>intercepter les 2 bords de<br>l’arcade zygomatique.<br>La lame superficielle<br>glisse ensuite à la<br>surface du muscle<br>masséter.<br>Le muscle temporal<br>remplit la fosse<br>temporale, s’insère sur la<br>ligne temporale<br>inferieure, sur la fosse temporal, sur la face<br>profonde du fascia<br>temporal profonde , sur le bord<br>médial de l’arcade zygomatique. Il possède un petit chef infra temporal, et Se<br>termine par son tendon blanc nacré sur le bord supérieur du processus coronoïde<br>de la mandibule.<br>Sous le fascia massétérique, on trouve les 2 chefs du muscle masséter.<br>Le Fascia temporal profond est dans la continuité du péricrâne, et se continue ensuite<br>par le Fascia massétérique.<br>A l’intérieur, on est dans la cavité crânienne, et on peut dessiner le cortex cérébral.<br>A l’extérieur, on à la Galéa aponévrotique qui glisse sur le péricrâne, et qui se continue<br>par le fascia temporal superficiel, et qui se termine par le Système musculo<br>aponévrotique superficiel de la face, ou SMAS, dans lequel on va trouver le muscle<br>zygomatique et les muscles de l’expression faciale.<br>Entre les 2 fascias temporaux se trouve le plan du Cavum avasculaire de Merkel.<br>A la surface de ces éléments on a une couche de graisse superficielle sous cutanée puis<br>la peau. la graisse profonde qui recouvre le muscle temporal, et qui se continue dans la<br>profondeur de l’appareil masticateur, constitue la Graisse lacunaire de la boule de<br>Bichat.<br>l'Artère temporale superficielle court à la surface du fascia temporal superficiel<br>accompagné par la veine temporale superficielle et par le Nerf auriculo temporal au<br>dessus du fascia.<br>En dessous du fascia le long de l’arcade zygomatique, rameau frontal du nerf VII, qui<br>peut être à l’origine d’une paralysie du front.<br>On peut voir parfois une artère temporale moyenne qui est situé entre les 2 feuillets du<br>fascia temporal profond.<br>En dessous, en profondeur, il y a les artères qui vont vasculariser le muscle temporal,<br>branches de l’artère maxillaire , artère temporales profondes accompagnées par des<br>veines profondes. Ces éléments sont accompagnés par des nerfs temporaux profonds,<br>rameaux moteurs qui viennent du nerf V3.
Anatomie::La Fosse Temporale	Les Plans de la fosse temporale	1. La peau<br>2. Le tissu cellulaire sous cutané, qui contient ATS + VTS + NAT.<br>3. Le fascia temporal superficiel,<br>4. Cavum avasculaire de Merkel, avec rameau frontal du nerf facial<br>5. fascia temporal profond vascularisé par l’artère temporale M.<br>6. muscle temporal avec les vaisseaux temporaux profonds, (venant<br>de l'artère maxillaire) et les nerfs temporaux profonds (du nerf V3).<br>CT de la fosse temporale
Anatomie::La Fosse Temporale	Parties osseuses (La Fosse Temporale)	 En avant, la cavité orbitaire constitue le rapport<br>antérieur de la fosse temporale.<br> On voit le contour de la cavité crânienne, avec les<br>lignes temporales supérieures et inferieures.<br> En avant, os zygomatique,<br> la fosse temporale est constituée par la grande aile<br>de l’os sphénoïde, la partie squameuse de l’os<br>temporal, la partie temporal de l'os frontale.<br> En avant on est dans l’orbite, et la fosse temporale est<br>en rapport avec l’orbite. Ceci est /!\ en clinique.<br>L’intérieur de la cavité crânienne est protégé par l’interposition du<br>muscle temporal. Une plaie de la fosse temporale, le muscle<br>protège le lobe temporal du cerveau.<br>Dans la fosse temporale, on retrouve le muscle temporal<br>appuyé sur les éléments osseux, et sur le fascia temporal<br>profond . Il glisse dans la fosse temporale par l’intermédiaire<br>de son piston graisseux qui vient se mettre a sa face antérieure,<br>contourne la face postérieure de l’os zygomatique, donne<br>naissance à une tranche qui recouvre le muscle à la surface de<br>celui-ci: C’est le piston masticateur de la boule de Bichat.<br>Le fascia temporal profond, qui se dédouble en 2 lames entre<br>lesquels on trouve l’artère temporale moyenne + ses veines.<br>A la surface du muscle temporal, on trouve le Fascia temporal<br>superficiel qui s’attache sur l’arcade zygomatique. En arrière,<br>le fascia se continue par le muscle occipito frontal.<br>En avant, le FTS se continue par les petits muscles<br>zygomatiques. A sa surface se trouve la graisse sous cutanée.<br>Le pavillon de l’oreille met son cartilage à ce niveau. On peut dessiner la peau faciale à la surface de ces<br>éléments. Se continue par la peau du cuir chevelu occipital.<br>les vaisceaux<br> L’artère temporale superficielle passe devant le CAE, tout près de l’arcade zygomatique, on trouve<br>ici l’artère zygomatico-orbitaire.<br> La veine TS est située derrière l’artère TS. Entre les 2 se trouve le nerf auriculo temporal.<br>Chirurgicalement on aborde les structures devant le CAE. Pour aborder le pédicule temporal<br>superficiel, on fait une incision devant le CAE.<br> Derrière se trouve l’artère auriculaire postérieure et artère occipitale, + veines correspondantes.<br>Avec eux courent les nerfs grand auriculaires et petit occipital.<br> Vascularisé en profondeur par 2 artères temporales profondes, et 3 nerfs à la face profonde du<br>muscle temporal, et des veines satellites qui forment un matelas veineux à la profondeur du muscle<br>temporal.<br>Il y a des Ganglions lymphatiques préauriculaire, mastoïdiens, et occipitaux, sont situés le long de ces<br>pédicules vasculaires.<br>Entre le fascia temporal superficiel et profond, on trouve le plan du Cavum avasculaire de Merkel, et à la<br>profondeur, on a le rameau frontal du nerf facial.<br>Pathologie de la fosse temporale.<br>Si un malade fait un abcès, tout d’abord apparait un gonflement vers l’extérieur de la fosse temporale qui va<br>devenir bombante. Vers l’intérieur, la tumeur peut éroder la fosse temporale, et venir se propager vers le<br>cerveau. Vers le bas , la tumeur descend le long de la boule de bichat dans la fosse infra temporale et peut<br>rejoindre la région jugale. En avant elle peut venir envahir la cavité orbitaire.
Anatomie::Paroi interne du crâne.	Paroi interne du crâne.	CSM passant par le massif céphalique, orienté coté supérieur en haut, et coté<br>antérieur G
Anatomie::Paroi interne du crâne.	Voute du crâne	 Os frontal a G, le vertex en haut, c'est la<br>partie la plus élevée du crâne,<br> Pole occipital a droite, arrière. La POE<br>soulève le relief en arrière.<br> glabelle a gauche, entre les 2 yeux, entre la<br>racine du nez et l’os frontal.
Anatomie::Paroi interne du crâne.	Base du crâne	 L’écaille de l’os occipital en arrière vient<br>fermer la base du crâne.<br> En avant, la base du crâne est constitué par<br>la partie fragile de la lame criblée de l’Os<br>ethmoïde avec la Crista Galli.<br> derrière, sphénoïde avec la selle turcique.<br> La base du crâne reste ouverte en arrière<br>d’un large orifice, le foramen occipital, ou<br>foramen magnum.<br>Sous le foramen magnum, il y a les éléments<br>vertébraux. On peut voir en avant la dent de l’axis,<br>arc antérieur de l’atlas devant elle, l’arc postérieur<br>de l’atlas, le processus épineux de l’axis, puis<br>vertèbres cervicales avec la concavité postérieure de la colonne cervicale. La Cavité du crâne est<br>bordée par un périoste interne, qu’on appelle l’endocrâne, et par le feuillet de la dure-mère ou
