#separator:tab
#html:true
#columns:deck	front	back
Anatomie::La Fosse Temporale	Les régions a décrire sont ?	 la région supérieure, ou Calvaria, en dessous du<br>cuir chevelu.<br> En dessous d’elle se trouve la fosse temporale,<br> la région frontale en avant, région occipitale en<br>arrière.<br> La Région auriculaire au dessous de la fosse<br>temporale autour de l’oreille.<br> Région parotidienne qui est la région<br>massétérique qui cache l’appareil masticateur.<br> Région orbitaire,<br> Région nasale, en regard du nez<br> Région labiomentonnière<br> Région zygomatique, en regard du zygoma<br> Région jugale, qui est celle de la joue.<br>Coupe frontale de la tête, Orientation supérieur↑ médial→.<br><br><div style='color: #2c3e50; border-top: 1px solid #ccc; padding-top: 10px; font-size: 0.9em; font-style: italic;'><i>Réflexion de Jules :</i> Structure essentielle de la région. Visualise bien ses rapports 3D.</div>
Anatomie::La Fosse Temporale	On peut faire l’anesthésie ?	 du nerf auriculo temporal, en venant infiltrer la région antérieure, contre le CAE, si on met<br><br><div style='color: #2c3e50; border-top: 1px solid #ccc; padding-top: 10px; font-size: 0.9em; font-style: italic;'><i>Réflexion de Jules :</i> Structure essentielle de la région. Visualise bien ses rapports 3D.</div>
Anatomie::La Fosse Temporale	Sous la graisse sous cutanée on a le muscle ?	occipito-frontal, avec le Muscle frontal en<br><br><div style='color: #2c3e50; border-top: 1px solid #ccc; padding-top: 10px; font-size: 0.9em; font-style: italic;'><i>Réflexion de Jules :</i> L'action du muscle découle de son orientation et de ses insertions. Imagine la contraction.</div>
Anatomie::La Fosse Temporale	En avant, les vaisseaux viennent s’anastomoser avec les artères supra trochléaires médialement, supra ?	orbitaires, au milieu, et lacrymales latéralement.<br><br><div style='color: #2c3e50; border-top: 1px solid #ccc; padding-top: 10px; font-size: 0.9em; font-style: italic;'><i>Réflexion de Jules :</i> Vascularisation = survie tissulaire. Toute lésion ici est une urgence vitale ou fonctionnelle.</div>
Anatomie::La Fosse Temporale	Les plans de la fosse temporale ?	1. La peau<br>2. Le tissu cellulaire sous cutané, qui contient ATS + VTS + NAT.<br>3. Le fascia temporal superficiel,<br>4. Cavum avasculaire de Merkel, avec rameau frontal du nerf facial<br>5. fascia temporal profond vascularisé par l’artère temporale M.<br>6. muscle temporal avec les vaisseaux temporaux profonds, (venant<br>de l'artère maxillaire) et les nerfs temporaux profonds (du nerf V3).<br>CT de la fosse temporale<br><br><div style='color: #2c3e50; border-top: 1px solid #ccc; padding-top: 10px; font-size: 0.9em; font-style: italic;'><i>Réflexion de Jules :</i> Connaître les plans successifs est le guide indispensable du geste chirurgical.</div>
Anatomie::La Fosse Temporale	Parties osseuses de la fosse temporale ?	 En avant, la cavité orbitaire constitue le rapport<br>antérieur de la fosse temporale.<br> On voit le contour de la cavité crânienne, avec les<br>lignes temporales supérieures et inferieures.<br> En avant, os zygomatique,<br> la fosse temporale est constituée par la grande aile<br>de l’os sphénoïde, la partie squameuse de l’os<br>temporal, la partie temporal de l'os frontale.<br> En avant on est dans l’orbite, et la fosse temporale est<br>en rapport avec l’orbite. Ceci est /!\ en clinique.<br>L’intérieur de la cavité crânienne est protégé par l’interposition du<br>muscle temporal. Une plaie de la fosse temporale, le muscle<br>protège le lobe temporal du cerveau.<br>Dans la fosse temporale, on retrouve le muscle temporal<br>appuyé sur les éléments osseux, et sur le fascia temporal<br><br><div style='color: #2c3e50; border-top: 1px solid #ccc; padding-top: 10px; font-size: 0.9em; font-style: italic;'><i>Réflexion de Jules :</i> Structure essentielle de la région. Visualise bien ses rapports 3D.</div>
Anatomie::Paroi interne du crâne	Voute du crâne ?	 Os frontal a G, le vertex en haut, c'est la<br>partie la plus élevée du crâne,<br> Pole occipital a droite, arrière. La POE<br>soulève le relief en arrière.<br> glabelle a gauche, entre les 2 yeux, entre la<br>racine du nez et l’os frontal.<br><br><div style='color: #2c3e50; border-top: 1px solid #ccc; padding-top: 10px; font-size: 0.9em; font-style: italic;'><i>Réflexion de Jules :</i> Structure essentielle de la région. Visualise bien ses rapports 3D.</div>
Anatomie::Paroi interne du crâne	Base du crâne ?	 L’écaille de l’os occipital en arrière vient<br>fermer la base du crâne.<br> En avant, la base du crâne est constitué par<br>la partie fragile de la lame criblée de l’Os<br>ethmoïde avec la Crista Galli.<br> derrière, sphénoïde avec la selle turcique.<br> La base du crâne reste ouverte en arrière<br>d’un large orifice, le foramen occipital, ou<br>foramen magnum.<br>Sous le foramen magnum, il y a les éléments<br>vertébraux. On peut voir en avant la dent de l’axis,<br>arc antérieur de l’atlas devant elle, l’arc postérieur<br>de l’atlas, le processus épineux de l’axis, puis<br>vertèbres cervicales avec la concavité postérieure de la colonne cervicale. La Cavité du crâne est<br>bordée par un périoste interne, qu’on appelle l’endocrâne, et par le feuillet de la dure-mère ou<br><br><div style='color: #2c3e50; border-top: 1px solid #ccc; padding-top: 10px; font-size: 0.9em; font-style: italic;'><i>Réflexion de Jules :</i> Structure essentielle de la région. Visualise bien ses rapports 3D.</div>
Anatomie::Paroi interne du crâne	En dessous, dans l’étage infra-tentoriel on voit le tronc cérébral, ?	 avec le premier étage, mésencéphale au dessus de l’incisure de Pacchioni,<br> ensuite flanqué des 2 hémisphères cérébelleux. Projette dans sa partie inferieure, les 2 reliefs des<br><br><div style='color: #2c3e50; border-top: 1px solid #ccc; padding-top: 10px; font-size: 0.9em; font-style: italic;'><i>Réflexion de Jules :</i> Structure essentielle de la région. Visualise bien ses rapports 3D.</div>
Anatomie::Paroi interne du crâne	Conséquences seront très graves ?	 Cerveau quitte sa loge et cherche à sortir<br>en passant sous la faux du cerveau, engagement sous la faux.<br> Le lobe temporal va venir comprimer le mésencéphale et s’engager sous la tente du<br>cervelet, dans l’incisure tentorielle de Pacchioni, on parle d’engagement tentoral.<br>Ceci aura 2 conséquences : Dans le mésencéphale se trouve le noyau moteur du 3e nerf<br>crânien, et le noyau du 4e nerf crânien , qui contourne le tronc cérébral, et glisse contre la<br>tente du cervelet.<br><br><div style='color: #2c3e50; border-top: 1px solid #ccc; padding-top: 10px; font-size: 0.9em; font-style: italic;'><i>Réflexion de Jules :</i> Structure essentielle de la région. Visualise bien ses rapports 3D.</div>
